"시도명","시군구","레벨01","시점","관용","자가용","영업용","계",
"서울","강남구","승용","2025.06 월","159","218784","13915","232858",
"서울","강남구","승합","2025.06 월","60","3768","531","4359",
"서울","강남구","화물","2025.06 월","187","13462","2204","15853",
"서울","강남구","특수","2025.06 월","18","371","152","541",
"서울","강남구","총계","2025.06 월","424","236385","16802","253611",
"서울","계","승용","2025.06 월","4854","2658772","111001","2774627",
"서울","계","승합","2025.06 월","3701","64561","14603","82865",
"서울","계","화물","2025.06 월","3925","237694","59280","300899",
"서울","계","특수","2025.06 월","433","6074","5155","11662",
"서울","계","총계","2025.06 월","12913","2967101","190039","3170053",
"서울","강동구","승용","2025.06 월","112","144566","5033","149711",
"서울","강동구","승합","2025.06 월","41","3179","617","3837",
"서울","강동구","화물","2025.06 월","154","11905","2615","14674",
"서울","강동구","특수","2025.06 월","8","261","213","482",
"서울","강동구","총계","2025.06 월","315","159911","8478","168704",
"서울","강북구","승용","2025.06 월","118","59869","2108","62095",
"서울","강북구","승합","2025.06 월","67","1972","716","2755",
"서울","강북구","화물","2025.06 월","130","6604","1265","7999",
"서울","강북구","특수","2025.06 월","17","146","114","277",
"서울","강북구","총계","2025.06 월","332","68591","4203","73126",
"서울","강서구","승용","2025.06 월","138","166951","8598","175687",
"서울","강서구","승합","2025.06 월","45","3890","1316","5251",
"서울","강서구","화물","2025.06 월","159","15691","4282","20132",
"서울","강서구","특수","2025.06 월","18","454","263","735",
"서울","강서구","총계","2025.06 월","360","186986","14459","201805",
"서울","관악구","승용","2025.06 월","89","98725","3025","101839",
"서울","관악구","승합","2025.06 월","44","2766","350","3160",
"서울","관악구","화물","2025.06 월","146","8763","2221","11130",
"서울","관악구","특수","2025.06 월","11","206","165","382",
"서울","관악구","총계","2025.06 월","290","110460","5761","116511",
"서울","광진구","승용","2025.06 월","87","80395","2957","83439",
"서울","광진구","승합","2025.06 월","45","1940","333","2318",
"서울","광진구","화물","2025.06 월","164","8723","1527","10414",
"서울","광진구","특수","2025.06 월","10","122","110","242",
"서울","광진구","총계","2025.06 월","306","91180","4927","96413",
"서울","구로구","승용","2025.06 월","111","114680","8974","123765",
"서울","구로구","승합","2025.06 월","59","3607","560","4226",
"서울","구로구","화물","2025.06 월","125","13496","2564","16185",
"서울","구로구","특수","2025.06 월","7","324","166","497",
"서울","구로구","총계","2025.06 월","302","132107","12264","144673",
"서울","금천구","승용","2025.06 월","58","71470","2689","74217",
"서울","금천구","승합","2025.06 월","34","2384","433","2851",
"서울","금천구","화물","2025.06 월","78","10418","2269","12765",
"서울","금천구","특수","2025.06 월","12","203","99","314",
"서울","금천구","총계","2025.06 월","182","84475","5490","90147",
"서울","노원구","승용","2025.06 월","80","128457","5560","134097",
"서울","노원구","승합","2025.06 월","51","3023","751","3825",
"서울","노원구","화물","2025.06 월","170","9529","2118","11817",
"서울","노원구","특수","2025.06 월","11","276","251","538",
"서울","노원구","총계","2025.06 월","312","141285","8680","150277",
"서울","도봉구","승용","2025.06 월","92","75990","4527","80609",
"서울","도봉구","승합","2025.06 월","49","2097","563","2709",
"서울","도봉구","화물","2025.06 월","123","7812","2038","9973",
"서울","도봉구","특수","2025.06 월","12","199","154","365",
"서울","도봉구","총계","2025.06 월","276","86098","7282","93656",
"서울","동대문구","승용","2025.06 월","108","86006","2785","88899",
"서울","동대문구","승합","2025.06 월","60","2382","129","2571",
"서울","동대문구","화물","2025.06 월","136","9542","2236","11914",
"서울","동대문구","특수","2025.06 월","11","201","99","311",
"서울","동대문구","총계","2025.06 월","315","98131","5249","103695",
"서울","동작구","승용","2025.06 월","117","94520","1233","95870",
"서울","동작구","승합","2025.06 월","44","2038","128","2210",
"서울","동작구","화물","2025.06 월","136","6282","1144","7562",
"서울","동작구","특수","2025.06 월","16","141","175","332",
"서울","동작구","총계","2025.06 월","313","102981","2680","105974",
"서울","마포구","승용","2025.06 월","98","101503","4183","105784",
"서울","마포구","승합","2025.06 월","55","2347","675","3077",
"서울","마포구","화물","2025.06 월","171","9057","2639","11867",
"서울","마포구","특수","2025.06 월","22","262","466","750",
"서울","마포구","총계","2025.06 월","346","113169","7963","121478",
"서울","서대문구","승용","2025.06 월","213","77090","3413","80716",
"서울","서대문구","승합","2025.06 월","100","1895","400","2395",
"서울","서대문구","화물","2025.06 월","135","5672","1756","7563",
"서울","서대문구","특수","2025.06 월","6","149","110","265",
"서울","서대문구","총계","2025.06 월","454","84806","5679","90939",
"서울","서초구","승용","2025.06 월","174","153368","3236","156778",
"서울","서초구","승합","2025.06 월","132","2795","654","3581",
"서울","서초구","화물","2025.06 월","182","10389","4143","14714",
"서울","서초구","특수","2025.06 월","16","276","201","493",
"서울","서초구","총계","2025.06 월","504","166828","8234","175566",
"서울","성동구","승용","2025.06 월","135","82117","8699","90951",
"서울","성동구","승합","2025.06 월","49","1675","940","2664",
"서울","성동구","화물","2025.06 월","180","7991","1910","10081",
"서울","성동구","특수","2025.06 월","17","205","130","352",
"서울","성동구","총계","2025.06 월","381","91988","11679","104048",
"서울","성북구","승용","2025.06 월","93","106227","2004","108324",
"서울","성북구","승합","2025.06 월","45","2585","1096","3726",
"서울","성북구","화물","2025.06 월","146","8268","1669","10083",
"서울","성북구","특수","2025.06 월","8","209","98","315",
"서울","성북구","총계","2025.06 월","292","117289","4867","122448",
"서울","송파구","승용","2025.06 월","129","205979","7597","213705",
"서울","송파구","승합","2025.06 월","106","3781","1568","5455",
"서울","송파구","화물","2025.06 월","160","16961","4759","21880",
"서울","송파구","특수","2025.06 월","19","406","395","820",
"서울","송파구","총계","2025.06 월","414","227127","14319","241860",
"서울","양천구","승용","2025.06 월","130","126770","4803","131703",
"서울","양천구","승합","2025.06 월","63","2851","734","3648",
"서울","양천구","화물","2025.06 월","144","10659","2933","13736",
"서울","양천구","특수","2025.06 월","8","273","436","717",
"서울","양천구","총계","2025.06 월","345","140553","8906","149804",
"서울","영등포구","승용","2025.06 월","130","118063","2761","120954",
"서울","영등포구","승합","2025.06 월","60","3383","198","3641",
"서울","영등포구","화물","2025.06 월","174","12610","4384","17168",
"서울","영등포구","특수","2025.06 월","17","474","627","1118",
"서울","영등포구","총계","2025.06 월","381","134530","7970","142881",
"서울","용산구","승용","2025.06 월","262","63507","1119","64888",
"서울","용산구","승합","2025.06 월","125","1688","75","1888",
"서울","용산구","화물","2025.06 월","150","4907","1051","6108",
"서울","용산구","특수","2025.06 월","13","155","31","199",
"서울","용산구","총계","2025.06 월","550","70257","2276","73083",
