원본명,정규화명,매칭점수,매칭_교차로명,lon,lat,주소(있으면),키(카메라)
2공단3,2공단,100,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
계룡APT3,계룡아파트,100,계룡APT3,127.123151,36.793362,계룡아파트,"계룡아파트,,,,,,,,,,,,"
고재4,고재,100,고재4,127.164313,36.80145,고재,"고재,,,,,,,,,,,,"
공구단지4,공구단지,100,공구단지4,127.119289,36.7894095,공구단지,"공구단지,,,,,,,,,,,,"
공단4,공단,100,공단4,127.122245,36.8456195,공단,"공단,,,,,,,,,,,,"
구상골4,구상골,100,구상골4,127.1355915,36.81851,구상골,"구상골,,,,,,,,,,,,"
구성3,구성,100,구성3,127.164232,36.798706,구성,"구성,,,,,,,,,,,,"
굴울(변전소)4,굴울,100,굴울(변전소)4,127.164731,36.7912525,굴울,"굴울,,,,,,,,,,,,"
남부5,남부,100,남부5,127.153546,36.7984565,남부,"남부,,,,,,,,,,,,"
도로원점3,도로원점,100,도로원점3,127.164178,36.806334,도로원점,"도로원점,,,,,,,,,,,,"
동부4,동부,100,동부4,127.1646505,36.810247,동부,"동부,,,,,,,,,,,,"
두정역사거리,두정역,86,두정중4,127.1382145,36.835655,두정중,"두정중,,,,,,,,,,,,"
두정중4,두정중,100,두정중4,127.1382145,36.835655,두정중,"두정중,,,,,,,,,,,,"
로데오4,로데오,100,로데오4,127.1319005,36.8028165,로데오,"로데오,,,,,,,,,,,,"
모란APT4,모란아파트,100,모란APT4,127.1216275,36.8007245,모란아파트,"모란아파트,,,,,,,,,,,,"
방아다리(이마트)4,방아다리,100,방아다리(이마트)4,127.127035,36.7947835,방아다리,"방아다리,,,,,,,,,,,,"
방죽안5,방죽안,100,방죽안5,127.151937,36.818583,방죽안,"방죽안,,,,,,,,,,,,"
백석대삼거리,백석대,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
백석사거리,백석,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
백석충전소사거리,백석충전소,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
번영로(갤러리아)4,번영로,100,번영로(갤러리아)4,127.1055345,36.801588,번영로,"번영로,,,,,,,,,,,,"
봉서4,봉서,100,봉서4,127.13446,36.813919,봉서,"봉서,,,,,,,,,,,,"
봉정사거리,봉정,80,봉서4,127.13446,36.813919,봉서,"봉서,,,,,,,,,,,,"
부성에너지주유소3,부성에너지주유소,100,부성에너지주유소3,127.135296,36.85572,부성에너지주유소,"부성에너지주유소,,,,,,,,,,,,"
부성초교4,부성초,100,부성초교4,127.138188,36.8337315,부성초,"부성초,,,,,,,,,,,,"
북부사거리,북부,100,북부지하차도4,127.138258,36.8390645,북부,"북부,,,,,,,,,,,,"
북부사거리,북부,100,북부지하차도4,127.138258,36.8390645,북부,"북부,,,,,,,,,,,,"
북부지하차도4,북부,100,북부지하차도4,127.138258,36.8390645,북부,"북부,,,,,,,,,,,,"
북부지하차도4,북부,100,북부지하차도4,127.138258,36.8390645,북부,"북부,,,,,,,,,,,,"
불당4,불당,100,불당4,127.1087315,36.81266,불당,"불당,,,,,,,,,,,,"
불당현대4,불당현대,100,불당현대4,127.107262,36.807644,불당현대,"불당현대,,,,,,,,,,,,"
